Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
65,St. Pauli,2025-11-29,0.5,@,Bayern Munich,de Bundesliga,L 1-3,1,3,-2,20,1,0,0,0,0.5,0.5,-1.8,-1.8,0.5,0.3,+0.5,+0.5,+0.5,0.05,10,0.1,1,1,10,20.9,0,Match Report
66,Werder Bremen,2025-11-29,1.1,,Köln,de Bundesliga,D 1-1,1,1,0,49,1,0,0,0,1.1,1.1,+0.1,+0.1,1,1.4,-0.1,-0.1,0,0.07,17,0.06,0.25,4,23.5,20.2,0,Match Report
67,Union Berlin,2025-11-29,1,,Heidenheim,de Bundesliga,L 1-2,1,2,-1,43,1,0,0,0,1,1,+0.4,+0.4,1,0.7,0,0,0,0.11,9,0.11,0.5,2,22.2,13.5,0,Match Report
68,Dortmund,2025-11-29,1.1,@,Leverkusen,de Bundesliga,W 2-1,2,1,+1,37,2,0,0,0,1.1,1.1,+0.3,+0.3,1.1,1.1,+0.9,+0.9,+0.9,0.16,7,0.29,0.5,4,57.1,12.7,0,Match Report
69,Köln,2025-11-29,1,@,Werder Bremen,de Bundesliga,D 1-1,1,1,0,51,1,0,0,0,1,1,-0.1,-0.1,0.9,0.6,0,0,+0.1,0.1,10,0.1,0.5,2,20,18,1,Match Report
70,Leverkusen,2025-11-29,0.8,,Dortmund,de Bundesliga,L 1-2,1,2,-1,63,1,0,0,0,0.8,0.8,-0.3,-0.3,0.7,1,+0.2,+0.2,+0.3,0.06,14,0.07,0.25,4,28.6,17.4,0,Match Report
71,Gladbach,2025-11-28,0.4,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,42,0,0,0,0,0.4,0.4,-0.5,-0.5,0.2,0.4,-0.4,-0.4,-0.2,0.06,7,0,,0,0,17.8,0,Match Report
72,RB Leipzig,2025-11-28,0.9,@,Gladbach,de Bundesliga,D 0-0,0,0,0,58,0,0,0,0,0.9,0.9,+0.5,+0.5,0.8,1.1,-0.9,-0.9,-0.8,0.05,20,0,0,4,20,20.3,1,Match Report
73,St. Pauli,2025-11-23,0.7,,Union Berlin,de Bundesliga,L 0-1,0,1,-1,58,0,0,0,0,0.7,0.7,+0.2,+0.2,0.6,1.2,-0.7,-0.7,-0.6,0.06,12,0,0,3,25,17.4,0,Match Report
74,Werder Bremen,2025-11-23,0.8,@,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,0.8,0.8,-1.3,-1.3,0.7,1.3,-0.8,-0.8,-0.7,0.05,15,0,0,5,33.3,17.8,0,Match Report
75,Union Berlin,2025-11-23,0.5,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,0.5,0.5,-0.2,-0.2,0.5,0.4,+0.5,+0.5,+0.5,0.08,7,0.14,0.33,3,42.9,15.2,0,Match Report
76,RB Leipzig,2025-11-23,2,,Werder Bremen,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,2,2,+1.3,+1.3,1.6,2.1,0,0,+0.4,0.1,22,0.09,0.17,12,54.5,16,1,Match Report
77,Bayern Munich,2025-11-22,2.9,,Freiburg,de Bundesliga,W 6-2,6,2,+4,71,6,0,0,0,2.9,2.9,+2.3,+2.3,2.9,2.2,+3.1,+3.1,+3.1,0.14,22,0.27,0.75,8,36.4,16.2,0,Match Report
78,Augsburg,2025-11-22,1.6,,Hamburger SV,de Bundesliga,W 1-0,1,0,+1,47,1,0,0,0,1.6,1.6,+0.3,+0.3,1.1,1.2,-0.6,-0.6,-0.1,0.13,13,0.08,0.17,6,46.2,16.2,0,Match Report
79,Heidenheim,2025-11-22,0.4,,Gladbach,de Bundesliga,L 0-3,0,3,-3,49,0,0,0,0,0.4,0.4,-1.8,-1,0.4,0.6,-0.4,-0.4,-0.4,0.06,7,0,0,2,28.6,15.7,0,Match Report
80,Hamburger SV,2025-11-22,1.3,@,Augsburg,de Bundesliga,L 0-1,0,1,-1,53,0,0,0,0,1.3,1.3,-0.3,-0.3,0.7,0.8,-1.3,-1.3,-0.7,0.09,15,0,0,5,33.3,15.4,0,Match Report
81,Gladbach,2025-11-22,2.2,@,Heidenheim,de Bundesliga,W 3-0,3,0,+3,51,2,1,1,0,2.2,1.4,+1.8,+1.0,1.1,2.1,+0.8,+0.6,+0.9,0.09,15,0.13,0.67,3,20,18.1,0,Match Report
82,Wolfsburg,2025-11-22,2.1,,Leverkusen,de Bundesliga,L 1-3,1,3,-2,38,1,0,0,0,2.1,2.1,+1.1,+1.1,1.5,1.9,-1.1,-1.1,-0.5,0.1,21,0.05,0.1,10,47.6,16.8,0,Match Report
83,Stuttgart,2025-11-22,1.5,@,Dortmund,de Bundesliga,D 3-3,3,3,0,55,3,0,0,0,1.5,1.5,-1.5,-0.7,1.4,1.4,+1.5,+1.5,+1.6,0.1,16,0.19,0.5,6,37.5,15.4,1,Match Report
84,Freiburg,2025-11-22,0.7,@,Bayern Munich,de Bundesliga,L 2-6,2,6,-4,29,2,0,0,0,0.7,0.7,-2.3,-2.3,0.6,0.8,+1.3,+1.3,+0.4,0.08,8,0.25,1,2,25,18.9,0,Match Report
85,Dortmund,2025-11-22,3,,Stuttgart,de Bundesliga,D 3-3,3,3,0,45,2,1,1,0,3,2.2,+1.5,+0.7,1.1,1.4,0,-0.2,-0.1,0.21,13,0.15,0.4,5,38.5,15.8,0,Match Report
86,Köln,2025-11-22,1.2,,Eint Frankfurt,de Bundesliga,L 3-4,3,4,-1,47,3,0,0,0,1.2,1.2,-1,-1,1,1.2,+1.8,+1.8,+1.0,0.11,11,0.27,0.6,5,45.5,13.3,0,Match Report
87,Leverkusen,2025-11-22,1,@,Wolfsburg,de Bundesliga,W 3-1,3,1,+2,62,3,0,0,0,1,1,-1.1,-1.1,1,1.5,+2.0,+2.0,+2.0,0.14,7,0.43,1,3,42.9,19.6,1,Match Report
88,Eint Frankfurt,2025-11-22,2.2,@,Köln,de Bundesliga,W 4-3,4,3,+1,53,4,0,0,0,2.2,2.2,+1.0,+1.0,2.1,1.5,+1.8,+1.8,+0.9,0.2,11,0.36,0.57,7,63.6,12.5,0,Match Report
89,Hoffenheim,2025-11-21,1.3,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,54,0,0,0,0,1.3,1.3,-0.6,-0.6,1.2,1.5,-1.3,-1.3,-1.2,0.07,19,0,0,4,21.1,17.6,1,Match Report
90,Mainz 05,2025-11-21,1.9,,Hoffenheim,de Bundesliga,D 1-1,1,1,0,46,1,0,0,0,1.9,1.9,+0.6,+0.6,1.5,2.2,-0.9,-0.9,-0.5,0.12,17,0.06,1,1,5.9,12.5,0,Match Report
91,Augsburg,2025-11-09,1.9,@,Stuttgart,de Bundesliga,L 2-3,2,3,-1,38,2,0,0,0,1.9,1.9,-0.4,+0.4,1.2,1,+0.1,+0.1,-1.2,0.12,17,0.12,0.33,6,35.3,17.7,1,Match Report
